Date,Open,High,Low,Close,Volume,days since 2020_Feb_03
2020-05-01,5.65,6.18,5.45,6.05,4005598,88
2020-04-30,5.87,5.98,5.64,5.73,2173530,87
2020-04-29,5.83,6.09,5.45,6.04,3370045,86
2020-04-28,5.92,6.04,5.06,5.64,5200189,85
2020-04-27,4.85,5.99,4.81,5.82,7275138,84
2020-04-24,4.78,4.85,4.66,4.77,2236544,81
2020-04-23,4.75,4.89,4.58,4.7,2265853,80
2020-04-22,5.14,5.17,4.83,4.89,2678133,79
2020-04-21,5.23,5.3,4.76,4.78,4142050,78
2020-04-20,4.85,5.9,4.78,5.61,6085011,77
2020-04-17,5.22,5.28,4.43,4.88,5653188,74
2020-04-16,5.12,5.44,4.88,5.03,3371921,73
2020-04-15,5.66,5.67,4.9,5.27,7499854,72
2020-04-14,5.21,6.47,5.14,5.95,13506630,71
2020-04-13,4.25,4.76,4.16,4.74,6844501,70
2020-04-09,3.6,4.25,3.49,3.89,5908916,66
2020-04-08,3.23,3.67,3.2,3.41,2884528,65
2020-04-07,3.39,3.44,3.1,3.27,2836859,64
2020-04-06,2.86,3.2,2.83,3.09,3331070,63
2020-04-03,2.85,2.94,2.57,2.8,3830761,60
2020-04-02,3.26,3.35,2.85,2.85,4064339,59
2020-04-01,3.45,3.49,3.12,3.25,4568695,58
2020-03-31,3.63,3.8,3.5,3.5,2304132,57
2020-03-30,4.22,4.27,3.65,3.65,3350571,56
2020-03-27,4.94,5.09,4.15,4.22,7024763,53
2020-03-26,4.24,4.71,4.24,4.41,6210979,52
2020-03-25,4.15,4.49,4.04,4.17,3592059,51
2020-03-24,3.95,4.21,3.89,4.16,6805659,50
2020-03-23,3.58,3.86,3.5,3.81,6009784,49
2020-03-20,4.08,4.08,3.65,3.76,7722194,46
2020-03-19,3.71,4.2,3.55,4.19,5039539,45
2020-03-18,4.1,4.25,3.5,3.77,3651709,44
2020-03-17,4.4,4.65,4.11,4.23,3562210,43
2020-03-16,3.93,4.57,3.9,4.37,4866696,42
2020-03-13,4.13,4.65,3.85,4.59,5787211,39
2020-03-12,3.7,4.04,3.48,3.98,5123363,38
2020-03-11,4.14,4.25,4.0,4.14,4414196,37
2020-03-10,3.94,4.26,3.8,4.23,4863169,36
2020-03-09,3.59,3.97,3.5,3.7,2732022,35
2020-03-06,3.84,4.07,3.76,3.92,2096803,32
2020-03-05,3.7,3.99,3.59,3.96,3599627,31
2020-03-04,3.71,3.83,3.46,3.77,4257629,30
2020-03-03,3.88,3.89,3.5,3.63,4282456,29
2020-03-02,3.6,3.85,3.39,3.83,3208428,28
2020-02-28,3.34,3.72,3.34,3.6,4692197,25
2020-02-27,3.23,3.63,3.18,3.47,3879480,24
2020-02-26,3.58,3.62,3.36,3.39,4725372,23
2020-02-25,3.77,3.79,3.55,3.56,4447956,22
2020-02-24,3.9,3.93,3.7,3.7,3566289,21
2020-02-21,4.12,4.18,3.99,4.04,1695693,18
2020-02-20,4.16,4.3,4.11,4.14,1562341,17
2020-02-19,4.06,4.27,3.92,4.15,2593092,16
2020-02-18,4.01,4.08,3.96,4.06,1467612,15
2020-02-14,4.11,4.19,4.02,4.02,1582660,11
2020-02-13,4.12,4.26,4.07,4.11,2081693,10
2020-02-12,4.13,4.51,4.07,4.19,4820604,9
2020-02-11,3.98,4.24,3.95,4.02,3415023,8
2020-02-10,3.85,4.1,3.74,3.94,2777042,7
2020-02-07,4.11,4.13,3.77,3.81,2742281,4
2020-02-06,4.2,4.3,4.14,4.14,1510303,3
2020-02-05,4.15,4.41,4.14,4.18,2641722,2
2020-02-04,4.03,4.25,3.97,4.07,3563061,1
2020-02-03,3.88,3.98,3.85,3.95,2026199,0
